Square,X,Y,Response,Piece
h1,27.0,13.0,27.0,R
h1,14.0,16.0,101.0,R
h1,27.0,16.0,102.0,R
h1,17.0,17.0,86.0,R
h1,24.0,17.0,82.0,R
h1,17.0,23.0,82.0,R
h1,24.0,23.0,82.0,R
h1,14.0,24.0,107.0,R
h1,27.0,24.0,109.0,R
h1,14.0,27.0,31.0,R
h1,27.0,27.0,31.0,R
h1,11.0,28.0,145.0,R
h1,30.0,28.0,148.0,R
